Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Fri Nov 14 2008,7:30 PM,Atlanta Hawks,108,New Jersey Nets,115,Box Score,,
Fri Nov 14 2008,7:00 PM,Portland Trail Blazers,82,New Orleans Hornets,87,Box Score,,
Fri Nov 14 2008,7:30 PM,Oklahoma City Thunder,106,New York Knicks,116,Box Score,,
Fri Nov 14 2008,7:00 PM,Phoenix Suns,97,Sacramento Kings,95,Box Score,OT,
Fri Nov 14 2008,7:30 PM,Houston Rockets,75,San Antonio Spurs,77,Box Score,,
Sat Nov 15 2008,7:00 PM,New Jersey Nets,119,Atlanta Hawks,107,Box Score,,
Sat Nov 15 2008,7:30 PM,Indiana Pacers,91,Chicago Bulls,104,Box Score,,
Sat Nov 15 2008,7:30 PM,Utah Jazz,93,Cleveland Cavaliers,105,Box Score,,
Sat Nov 15 2008,7:30 PM,New Orleans Hornets,82,Houston Rockets,91,Box Score,,
Sat Nov 15 2008,12:30 PM,Golden State Warriors,121,Los Angeles Clippers,103,Box Score,,
Sat Nov 15 2008,7:30 PM,Boston Celtics,102,Milwaukee Bucks,97,Box Score,OT,
Sat Nov 15 2008,7:00 PM,Portland Trail Blazers,88,Minnesota Timberwolves,83,Box Score,,
Sat Nov 15 2008,7:00 PM,Oklahoma City Thunder,85,Philadelphia 76ers,110,Box Score,,
Sun Nov 16 2008,5:30 PM,Orlando Magic,90,Charlotte Bobcats,85,Box Score,,
Sun Nov 16 2008,6:00 PM,Minnesota Timberwolves,84,Denver Nuggets,90,Box Score,,
Sun Nov 16 2008,6:00 PM,Dallas Mavericks,124,New York Knicks,114,Box Score,OT,
Sun Nov 16 2008,6:00 PM,Detroit Pistons,86,Phoenix Suns,104,Box Score,,
Sun Nov 16 2008,6:00 PM,San Antonio Spurs,90,Sacramento Kings,88,Box Score,,
Sun Nov 16 2008,1:00 PM,Miami Heat,96,Toronto Raptors,107,Box Score,,
Mon Nov 17 2008,7:30 PM,San Antonio Spurs,86,Los Angeles Clippers,83,Box Score,,
Mon Nov 17 2008,7:00 PM,Houston Rockets,100,Oklahoma City Thunder,89,Box Score,,
Mon Nov 17 2008,7:00 PM,Phoenix Suns,97,Utah Jazz,109,Box Score,,
Tue Nov 18 2008,7:30 PM,New York Knicks,101,Boston Celtics,110,Box Score,,
Tue Nov 18 2008,7:00 PM,Dallas Mavericks,100,Charlotte Bobcats,83,Box Score,,
Tue Nov 18 2008,7:00 PM,Milwaukee Bucks,105,Denver Nuggets,114,Box Score,,
Tue Nov 18 2008,7:30 PM,Portland Trail Blazers,106,Golden State Warriors,111,Box Score,,
Tue Nov 18 2008,7:00 PM,Atlanta Hawks,96,Indiana Pacers,113,Box Score,,
Tue Nov 18 2008,7:30 PM,Chicago Bulls,109,Los Angeles Lakers,116,Box Score,,
Tue Nov 18 2008,7:00 PM,Sacramento Kings,94,Memphis Grizzlies,109,Box Score,,
Tue Nov 18 2008,7:30 PM,Cleveland Cavaliers,106,New Jersey Nets,82,Box Score,,
Tue Nov 18 2008,7:00 PM,Toronto Raptors,90,Orlando Magic,103,Box Score,,
Tue Nov 18 2008,7:00 PM,Miami Heat,94,Washington Wizards,87,Box Score,,
Wed Nov 19 2008,7:00 PM,Washington Wizards,87,Atlanta Hawks,91,Box Score,,
Wed Nov 19 2008,7:30 PM,Cleveland Cavaliers,89,Detroit Pistons,96,Box Score,,
Wed Nov 19 2008,7:00 PM,Dallas Mavericks,96,Houston Rockets,86,Box Score,,
Wed Nov 19 2008,7:30 PM,Toronto Raptors,101,Miami Heat,95,Box Score,,
Wed Nov 19 2008,7:00 PM,Philadelphia 76ers,96,Minnesota Timberwolves,102,Box Score,,
Wed Nov 19 2008,7:00 PM,Sacramento Kings,105,New Orleans Hornets,96,Box Score,,
Wed Nov 19 2008,7:00 PM,Los Angeles Clippers,108,Oklahoma City Thunder,88,Box Score,,
Wed Nov 19 2008,7:30 PM,Chicago Bulls,74,Portland Trail Blazers,116,Box Score,,
Wed Nov 19 2008,7:30 PM,Denver Nuggets,91,San Antonio Spurs,81,Box Score,,
Wed Nov 19 2008,7:00 PM,Milwaukee Bucks,94,Utah Jazz,105,Box Score,,
Thu Nov 20 2008,8:00 PM,Detroit Pistons,80,Boston Celtics,98,Box Score,,
Thu Nov 20 2008,8:30 PM,Los Angeles Lakers,105,Phoenix Suns,92,Box Score,,
Fri Nov 21 2008,7:30 PM,Charlotte Bobcats,83,Atlanta Hawks,88,Box Score,,
Fri Nov 21 2008,7:30 PM,Memphis Grizzlies,76,Dallas Mavericks,91,Box Score,,
Fri Nov 21 2008,7:30 PM,Chicago Bulls,115,Golden State Warriors,110,Box Score,,
Fri Nov 21 2008,7:00 PM,Orlando Magic,100,Indiana Pacers,98,Box Score,OT,
Fri Nov 21 2008,7:30 PM,Denver Nuggets,90,Los Angeles Lakers,104,Box Score,,
Fri Nov 21 2008,7:30 PM,New York Knicks,87,Milwaukee Bucks,104,Box Score,,
Fri Nov 21 2008,7:00 PM,Boston Celtics,95,Minnesota Timberwolves,78,Box Score,,
Fri Nov 21 2008,8:30 PM,New Orleans Hornets,105,Oklahoma City Thunder,80,Box Score,,
Fri Nov 21 2008,7:00 PM,Los Angeles Clippers,88,Philadelphia 76ers,89,Box Score,,
Fri Nov 21 2008,7:00 PM,Portland Trail Blazers,117,Sacramento Kings,96,Box Score,,
Fri Nov 21 2008,7:30 PM,Utah Jazz,94,San Antonio Spurs,119,Box Score,,
Fri Nov 21 2008,7:00 PM,New Jersey Nets,129,Toronto Raptors,127,Box Score,OT,
Fri Nov 21 2008,7:00 PM,Houston Rockets,103,Washington Wizards,91,Box Score,,
Sat Nov 22 2008,7:00 PM,Milwaukee Bucks,79,Charlotte Bobcats,74,Box Score,,
Sat Nov 22 2008,7:30 PM,Atlanta Hawks,96,Cleveland Cavaliers,110,Box Score,,
Sat Nov 22 2008,7:00 PM,Utah Jazz,103,Memphis Grizzlies,94,Box Score,,
Sat Nov 22 2008,7:30 PM,Indiana Pacers,100,Miami Heat,109,Box Score,,
Sat Nov 22 2008,7:30 PM,Los Angeles Clippers,95,New Jersey Nets,112,Box Score,,
Sat Nov 22 2008,7:00 PM,Oklahoma City Thunder,97,New Orleans Hornets,109,Box Score,,
Sat Nov 22 2008,7:30 PM,Washington Wizards,117,New York Knicks,122,Box Score,,
Sat Nov 22 2008,7:00 PM,Houston Rockets,100,Orlando Magic,95,Box Score,,
Sat Nov 22 2008,7:00 PM,Portland Trail Blazers,92,Phoenix Suns,102,Box Score,,
Sun Nov 23 2008,7:00 PM,Chicago Bulls,101,Denver Nuggets,114,Box Score,,
Sun Nov 23 2008,6:00 PM,Minnesota Timberwolves,106,Detroit Pistons,80,Box Score,,
Sun Nov 23 2008,6:30 PM,Sacramento Kings,108,Los Angeles Lakers,118,Box Score,,
Sun Nov 23 2008,5:00 PM,Golden State Warriors,81,Philadelphia 76ers,89,Box Score,,
Sun Nov 23 2008,12:30 PM,Boston Celtics,118,Toronto Raptors,103,Box Score,,
Mon Nov 24 2008,7:00 PM,Philadelphia 76ers,84,Charlotte Bobcats,93,Box Score,,
Mon Nov 24 2008,7:30 PM,New Orleans Hornets,99,Los Angeles Clippers,87,Box Score,,
Mon Nov 24 2008,7:00 PM,San Antonio Spurs,94,Memphis Grizzlies,81,Box Score,,
Mon Nov 24 2008,7:30 PM,Houston Rockets,107,Miami Heat,98,Box Score,,
Mon Nov 24 2008,7:00 PM,Milwaukee Bucks,101,Orlando Magic,108,Box Score,,
Mon Nov 24 2008,7:00 PM,Sacramento Kings,90,Portland Trail Blazers,91,Box Score,,
Mon Nov 24 2008,7:00 PM,Chicago Bulls,101,Utah Jazz,100,Box Score,,
Tue Nov 25 2008,7:30 PM,Indiana Pacers,106,Dallas Mavericks,109,Box Score,,
Tue Nov 25 2008,7:30 PM,New Jersey Nets,93,Los Angeles Lakers,120,Box Score,,
Tue Nov 25 2008,7:30 PM,Cleveland Cavaliers,119,New York Knicks,101,Box Score,,
