Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Notes
Wed Nov 19 2014,9:30 pm,Los Angeles Lakers,98,Houston Rockets,92,Box Score,,
Wed Nov 19 2014,7:00 pm,Charlotte Hornets,86,Indiana Pacers,88,Box Score,,
Wed Nov 19 2014,8:00 pm,New York Knicks,99,Minnesota Timberwolves,115,Box Score,,
Wed Nov 19 2014,7:00 pm,Los Angeles Clippers,114,Orlando Magic,90,Box Score,,
Wed Nov 19 2014,7:00 pm,Boston Celtics,101,Philadelphia 76ers,90,Box Score,,
Wed Nov 19 2014,7:30 pm,Memphis Grizzlies,92,Toronto Raptors,96,Box Score,,
Wed Nov 19 2014,7:00 pm,Dallas Mavericks,105,Washington Wizards,102,Box Score,,
Thu Nov 20 2014,8:00 pm,Los Angeles Clippers,110,Miami Heat,93,Box Score,,
Thu Nov 20 2014,10:30 pm,Chicago Bulls,88,Sacramento Kings,103,Box Score,,
Fri Nov 21 2014,7:30 pm,Detroit Pistons,89,Atlanta Hawks,99,Box Score,,
Fri Nov 21 2014,7:00 pm,Orlando Magic,105,Charlotte Hornets,100,Box Score,,
Fri Nov 21 2014,8:30 pm,Los Angeles Lakers,106,Dallas Mavericks,140,Box Score,,
Fri Nov 21 2014,9:00 pm,New Orleans Pelicans,97,Denver Nuggets,117,Box Score,,
Fri Nov 21 2014,10:30 pm,Utah Jazz,88,Golden State Warriors,101,Box Score,,
Fri Nov 21 2014,8:00 pm,Boston Celtics,100,Memphis Grizzlies,117,Box Score,,
Fri Nov 21 2014,8:00 pm,San Antonio Spurs,121,Minnesota Timberwolves,92,Box Score,,
Fri Nov 21 2014,8:00 pm,Brooklyn Nets,94,Oklahoma City Thunder,92,Box Score,,
Fri Nov 21 2014,7:00 pm,Phoenix Suns,122,Philadelphia 76ers,96,Box Score,,
Fri Nov 21 2014,10:30 pm,Chicago Bulls,87,Portland Trail Blazers,105,Box Score,,
Fri Nov 21 2014,7:30 pm,Milwaukee Bucks,82,Toronto Raptors,124,Box Score,,
Fri Nov 21 2014,8:00 pm,Cleveland Cavaliers,78,Washington Wizards,91,Box Score,,
Sat Nov 22 2014,7:30 pm,Toronto Raptors,110,Cleveland Cavaliers,93,Box Score,,
Sat Nov 22 2014,8:00 pm,Dallas Mavericks,92,Houston Rockets,95,Box Score,,
Sat Nov 22 2014,7:00 pm,Phoenix Suns,106,Indiana Pacers,83,Box Score,,
Sat Nov 22 2014,8:30 pm,Washington Wizards,111,Milwaukee Bucks,100,Box Score,,
Sat Nov 22 2014,8:00 pm,Sacramento Kings,113,Minnesota Timberwolves,101,Box Score,,
Sat Nov 22 2014,7:30 pm,Philadelphia 76ers,83,New York Knicks,91,Box Score,,
Sat Nov 22 2014,7:00 pm,Miami Heat,99,Orlando Magic,92,Box Score,,
Sat Nov 22 2014,8:30 pm,Brooklyn Nets,87,San Antonio Spurs,99,Box Score,,
Sat Nov 22 2014,9:00 pm,New Orleans Pelicans,106,Utah Jazz,94,Box Score,,
Sun Nov 23 2014,6:00 pm,Portland Trail Blazers,94,Boston Celtics,88,Box Score,,
Sun Nov 23 2014,9:30 pm,Denver Nuggets,101,Los Angeles Lakers,94,Box Score,OT,
Sun Nov 23 2014,6:00 pm,Los Angeles Clippers,91,Memphis Grizzlies,107,Box Score,,
Sun Nov 23 2014,6:00 pm,Charlotte Hornets,93,Miami Heat,94,Box Score,,
Sun Nov 23 2014,7:00 pm,Golden State Warriors,91,Oklahoma City Thunder,86,Box Score,,
Mon Nov 24 2014,7:00 pm,Los Angeles Clippers,113,Charlotte Hornets,92,Box Score,,
Mon Nov 24 2014,7:00 pm,Orlando Magic,74,Cleveland Cavaliers,106,Box Score,,
Mon Nov 24 2014,8:30 pm,Indiana Pacers,111,Dallas Mavericks,100,Box Score,,
Mon Nov 24 2014,8:00 pm,New York Knicks,86,Houston Rockets,91,Box Score,,
Mon Nov 24 2014,7:00 pm,Portland Trail Blazers,114,Philadelphia 76ers,104,Box Score,,
Mon Nov 24 2014,7:30 pm,Phoenix Suns,100,Toronto Raptors,104,Box Score,,
Mon Nov 24 2014,9:00 pm,Chicago Bulls,97,Utah Jazz,95,Box Score,,
Tue Nov 25 2014,9:00 pm,Chicago Bulls,109,Denver Nuggets,114,Box Score,,
Tue Nov 25 2014,7:30 pm,Golden State Warriors,114,Miami Heat,97,Box Score,,
Tue Nov 25 2014,8:00 pm,Detroit Pistons,86,Milwaukee Bucks,98,Box Score,,
Tue Nov 25 2014,8:00 pm,Sacramento Kings,99,New Orleans Pelicans,89,Box Score,,
Tue Nov 25 2014,7:00 pm,Atlanta Hawks,106,Washington Wizards,102,Box Score,,
Wed Nov 26 2014,7:30 pm,Toronto Raptors,126,Atlanta Hawks,115,Box Score,,
Wed Nov 26 2014,7:00 pm,Portland Trail Blazers,105,Charlotte Hornets,97,Box Score,,
Wed Nov 26 2014,7:00 pm,Washington Wizards,87,Cleveland Cavaliers,113,Box Score,,
Wed Nov 26 2014,7:30 pm,New York Knicks,102,Dallas Mavericks,109,Box Score,OT,
Wed Nov 26 2014,7:30 pm,Los Angeles Clippers,104,Detroit Pistons,98,Box Score,,
Wed Nov 26 2014,8:00 pm,Sacramento Kings,89,Houston Rockets,102,Box Score,,
Wed Nov 26 2014,10:30 pm,Memphis Grizzlies,99,Los Angeles Lakers,93,Box Score,,
Wed Nov 26 2014,8:00 pm,Milwaukee Bucks,103,Minnesota Timberwolves,86,Box Score,,
Wed Nov 26 2014,8:00 pm,Utah Jazz,82,Oklahoma City Thunder,97,Box Score,,
Wed Nov 26 2014,7:00 pm,Golden State Warriors,111,Orlando Magic,96,Box Score,,
Wed Nov 26 2014,7:00 pm,Brooklyn Nets,99,Philadelphia 76ers,91,Box Score,,
Wed Nov 26 2014,9:00 pm,Denver Nuggets,112,Phoenix Suns,120,Box Score,,
Wed Nov 26 2014,8:30 pm,Indiana Pacers,100,San Antonio Spurs,106,Box Score,,
Fri Nov 28 2014,7:30 pm,New Orleans Pelicans,91,Atlanta Hawks,100,Box Score,,
Fri Nov 28 2014,1:00 pm,Chicago Bulls,109,Boston Celtics,102,Box Score,,
Fri Nov 28 2014,7:00 pm,Golden State Warriors,106,Charlotte Hornets,101,Box Score,,
Fri Nov 28 2014,9:00 pm,Phoenix Suns,97,Denver Nuggets,122,Box Score,,
Fri Nov 28 2014,7:30 pm,Milwaukee Bucks,104,Detroit Pistons,88,Box Score,,
Fri Nov 28 2014,8:00 pm,Los Angeles Clippers,102,Houston Rockets,85,Box Score,,
Fri Nov 28 2014,8:00 pm,Orlando Magic,83,Indiana Pacers,98,Box Score,,
Fri Nov 28 2014,10:30 pm,Minnesota Timberwolves,120,Los Angeles Lakers,119,Box Score,,
Fri Nov 28 2014,8:00 pm,New York Knicks,78,Oklahoma City Thunder,105,Box Score,,
Fri Nov 28 2014,10:00 pm,Memphis Grizzlies,112,Portland Trail Blazers,99,Box Score,,
Fri Nov 28 2014,8:30 pm,Sacramento Kings,104,San Antonio Spurs,112,Box Score,,
Fri Nov 28 2014,7:30 pm,Dallas Mavericks,106,Toronto Raptors,102,Box Score,,
Sat Nov 29 2014,7:30 pm,Charlotte Hornets,75,Atlanta Hawks,105,Box Score,,
Sat Nov 29 2014,7:30 pm,Indiana Pacers,97,Cleveland Cavaliers,109,Box Score,,
Sat Nov 29 2014,9:00 pm,Houston Rockets,117,Milwaukee Bucks,103,Box Score,,
Sat Nov 29 2014,7:00 pm,Dallas Mavericks,110,Philadelphia 76ers,103,Box Score,,
Sat Nov 29 2014,9:00 pm,Los Angeles Clippers,112,Utah Jazz,96,Box Score,,
Sat Nov 29 2014,7:00 pm,New Orleans Pelicans,80,Washington Wizards,83,Box Score,,
Sun Nov 30 2014,1:00 pm,San Antonio Spurs,111,Boston Celtics,89,Box Score,,
Sun Nov 30 2014,3:00 pm,Chicago Bulls,102,Brooklyn Nets,84,Box Score,,
Sun Nov 30 2014,3:30 pm,Golden State Warriors,104,Detroit Pistons,93,Box Score,,
Sun Nov 30 2014,9:30 pm,Toronto Raptors,122,Los Angeles Lakers,129,Box Score,OT,
Sun Nov 30 2014,7:30 pm,Miami Heat,86,New York Knicks,79,Box Score,,
Sun Nov 30 2014,8:00 pm,Orlando Magic,93,Phoenix Suns,90,Box Score,,
Sun Nov 30 2014,9:00 pm,Minnesota Timberwolves,93,Portland Trail Blazers,107,Box Score,,
Sun Nov 30 2014,6:00 pm,Memphis Grizzlies,97,Sacramento Kings,85,Box Score,,
Mon Dec 1 2014,10:30 pm,Minnesota Timberwolves,101,Los Angeles Clippers,127,Box Score,,
Mon Dec 1 2014,7:00 pm,San Antonio Spurs,109,Philadelphia 76ers,103,Box Score,,
Mon Dec 1 2014,9:00 pm,Denver Nuggets,103,Utah Jazz,101,Box Score,,
Mon Dec 1 2014,7:00 pm,Miami Heat,86,Washington Wizards,107,Box Score,,
Tue Dec 2 2014,7:30 pm,Boston Celtics,105,Atlanta Hawks,109,Box Score,,
Tue Dec 2 2014,8:00 pm,Dallas Mavericks,132,Chicago Bulls,129,Box Score,2OT,
Tue Dec 2 2014,7:00 pm,Milwaukee Bucks,108,Cleveland Cavaliers,111,Box Score,,
Tue Dec 2 2014,9:00 pm,Portland Trail Blazers,105,Denver Nuggets,103,Box Score,,
Tue Dec 2 2014,7:30 pm,Los Angeles Lakers,106,Detroit Pistons,96,Box Score,,
Tue Dec 2 2014,10:30 pm,Orlando Magic,97,Golden State Warriors,98,Box Score,,
Tue Dec 2 2014,8:00 pm,Oklahoma City Thunder,104,New Orleans Pelicans,112,Box Score,,
Tue Dec 2 2014,7:30 pm,Brooklyn Nets,98,New York Knicks,93,Box Score,,
Tue Dec 2 2014,9:00 pm,Indiana Pacers,99,Phoenix Suns,116,Box Score,,
Tue Dec 2 2014,10:00 pm,Toronto Raptors,117,Sacramento Kings,109,Box Score,,
Wed Dec 3 2014,7:30 pm,Detroit Pistons,102,Boston Celtics,109,Box Score,OT,
Wed Dec 3 2014,7:30 pm,San Antonio Spurs,93,Brooklyn Nets,95,Box Score,OT,
Wed Dec 3 2014,7:00 pm,Chicago Bulls,102,Charlotte Hornets,95,Box Score,,
